Country,Age,Gender,Customer spendings
Australia,38,Man,559
Australia,66,Woman,555
Australia,44,Woman,506
Australia,55,Man,437
Australia,57,Woman,328
Australia,38,Woman,196
Australia,19,Woman,192
Australia,56,Woman,189
Australia,29,Man,169
Australia,28,Woman,141
Australia,29,Man,97
Australia,46,Woman,85
Australia,44,Man,38
Austria,68,Woman,567
Austria,27,Woman,558
Austria,69,Woman,530
Austria,47,Man,453
Austria,29,Man,421
Austria,45,Man,375
Austria,70,Woman,373
Austria,28,Woman,252
Austria,63,Woman,241
Austria,50,Woman,194
Austria,27,Woman,190
Austria,19,Man,122
Austria,67,Woman,122
Austria,27,Woman,82
Austria,41,Man,22
Belgium,22,Woman,568
Belgium,40,Woman,380
Belgium,73,Woman,311
Belgium,74,Man,308
Belgium,64,Woman,307
Belgium,37,Woman,199
Belgium,39,Woman,153
Belgium,34,Man,117
Belgium,34,Woman,92
Belgium,47,Man,79
Belgium,36,Man,74
Belgium,37,Man,67
Belgium,46,Woman,61
Belgium,50,Man,50
Belgium,21,Woman,40
Brazil,74,Man,593
Brazil,27,Woman,586
Brazil,51,Woman,581
Brazil,69,Woman,486
Brazil,44,Woman,469
Brazil,54,Woman,341
Brazil,25,Man,335
Brazil,46,Woman,256
Brazil,51,Man,147
Brazil,56,Man,107
Brazil,24,Woman,73
Brazil,48,Woman,66
Brazil,21,Woman,38
Brazil,65,Woman,35
Canada,67,Man,540
Canada,46,Man,453
Canada,25,Woman,418
Canada,64,Man,408
Canada,21,Woman,388
Canada,44,Woman,355
Canada,46,Woman,336
Canada,35,Woman,71
Canada,54,Woman,57
Chile,25,Man,553
Chile,29,Man,501
Chile,65,Woman,448
Chile,59,Man,399
Chile,73,Man,398
Chile,45,Woman,339
Chile,41,Man,318
Chile,38,Man,279
Chile,65,Woman,267
Chile,62,Man,257
Chile,60,Man,197
Chile,42,Man,177
Chile,47,Woman,129
Chile,45,Man,89
China,40,Woman,515
China,69,Woman,512
China,20,Woman,511
China,37,Woman,504
China,34,Woman,494
China,18,Woman,413
China,49,Woman,412
China,24,Woman,353
China,18,Man,341
China,31,Man,303
China,68,Man,297
China,53,Woman,261
China,29,Woman,196
China,47,Man,157
China,18,Woman,153
China,35,Man,149
China,49,Woman,130
China,52,Man,109
Colombia,34,Woman,584
Colombia,51,Woman,489
Colombia,22,Man,487
Colombia,42,Man,466
Colombia,37,Woman,373
Colombia,66,Woman,302
Colombia,68,Woman,272
Colombia,18,Man,195
Colombia,24,Man,155
Colombia,19,Man,128
Colombia,47,Man,118
Colombia,24,Woman,105
Colombia,21,Woman,79
Costa Rica,60,Woman,596
Costa Rica,51,Woman,578
Costa Rica,67,Man,538
Costa Rica,23,Woman,441
Costa Rica,27,Woman,434
Costa Rica,26,Woman,398
Costa Rica,55,Man,387
Costa Rica,45,Woman,146
Costa Rica,44,Man,115
Costa Rica,30,Man,79
Costa Rica,68,Woman,18
Costa Rica,59,Woman,13
France,34,Woman,525
France,69,Woman,522
France,47,Man,477
France,67,Woman,463
